pressure;totalQueued;waitingTime;passedCars;noiseEmission;COEmission;CO2Emission;fuelConsumption;occupancy
4;4;0.25;7;268.8556613899628;821.1432825599109;30012.049912219438;12.90109492195444;0.15310890221566653
4;8;0.53;6;190.4133739588073;1145.7275866712482;24915.21012384182;10.710398359794322;0.13469827586206898
12;9;0.9;1;206.9091452654911;1739.6598869615282;37951.38814196401;16.314325431322324;0.17510775862068967
15;10;1.34;0;198.32605739521836;1700.8221857982571;39892.640780956;17.1487398910348;0.20204741379310345
15;11;1.84;1;135.64704883911787;1741.275013996196;32114.742427370686;13.805503900809207;0.21551724137931036
18;15;2.47;1;201.89592035792157;2070.8021373292195;40597.2350068317;17.451860076507486;0.25592672413793105
17;8;1.71;2;274.43329374105986;1881.721011234938;47245.54351041686;20.309545229003252;0.25592672413793105
11;3;0.94;7;277.93599189374663;1622.6433557660748;47830.13755073332;20.560608964350237;0.24245689655172414
8;3;0.46;8;279.2289424633823;1181.5956143561825;48979.66479852721;21.054436147853416;0.21551724137931033
7;5;0.35;8;266.97044234476397;948.4377553681082;33029.236643242206;14.198103044176982;0.20204741379310345
6;7;0.56;7;262.6266530417134;1190.7113330716825;33735.124403920265;14.50167951479313;0.17510775862068967
6;7;0.87;6;262.88428338836076;1433.2311572812305;35061.23480787358;15.071845995752213;0.16163793103448276
7;7;1.22;4;275.0350340961702;1748.41726044714;49312.89193701213;21.197958919537204;0.15782446591578914
7;8;1.57;4;192.23954118418976;1478.4188985977166;26951.7711490273;11.586095368676789;0.14816810344827586
10;7;1.92;3;212.10639625671735;1810.1450905850081;49380.66312135235;21.22716664552476;0.17510775862068964
11;1;0.76;3;271.54981189580604;1218.3950489299998;35385.788979634985;15.211205306427582;0.18857758620689655
6;2;0.1;6;273.56248560407647;889.3713020769532;32518.216969727808;13.978368027083066;0.16163793103448276
6;4;0.18;4;261.1742422890486;844.3035093293962;25181.43596122656;10.824657416349623;0.13469827586206898
5;6;0.44;5;266.1588412703545;1065.6322508017086;32197.418571679336;13.84054931582776;0.13469827586206898
