queue_average_reward;passed_cars_reward;pressure_reward;waiting_time_reward;noiseEmission_reward;COEmission_reward;CO2Emission_reward;fuel_reward;occupancy_reward;reward
4;4;-8;0.87;0.847517984;665.595467;8500.76456;3.654454801;0.040409483;35.6544548
-4;0;-7;0.31;76.14575822;218.0454678;21855.5545;9.394641554;0.013469828;-10.60535845
-2;-1;-9;-0.14;-10.85463332;-236.0795654;-16533.96653;-7.107164931;-0.013469828;-20.10716493
-1;-2;-12;-0.38;-57.5226008;-343.17375;-995.609202;-0.42820028;-0.018286296;-11.42820028
-2;-1;-12;-0.5;73.66951853;-91.06415827;5085.26049;2.18575322;0.018286296;-10.81424678
-2;0;-13;-0.62;58.90168588;-484.2220595;-3906.336618;-1.679401952;-0.013469828;-11.67940195
-1;-1;-15;-0.65;-48.34304752;-208.9289223;-463.3056858;-0.199288156;-0.013469828;-8.199288156
-1;-1;-16;-0.71;-12.71893465;47.94599761;-3679.428209;-1.581545175;0;-9.581545175
10;2;-12;1.11;-9.390158059;313.5215546;-4389.002204;-1.886382359;0.026939655;54.11361764
3;4;-8;1.14;-71.2956294;519.0422318;-4804.213343;-2.064777635;0;24.93522236
0;1;-6;0.89;-1.895396418;489.9491793;15156.36663;6.515283163;-0.000511296;9.515283163
-2;0;-4;0.14;10.8961874;115.286643;4450.338329;1.912972786;0.03597998;-8.087027214
-4;-1;-4;-0.28;78.44228743;-324.5843041;5096.839788;2.190696562;0.018410626;-20.80930344
-1;-5;-12;-0.37;-16.49577131;-593.9323003;-13036.17802;-5.603927072;-0.040409483;-25.60392707
-1;-1;-15;-0.44;8.58308787;38.83770116;-1941.252639;-0.83441446;-0.026939655;-8.83441446
-1;1;-15;-0.5;62.67900856;-40.4528282;7777.898354;3.34323599;-0.013469828;1.34323599
-4;0;-18;-0.63;-66.24887152;-329.5271233;-8482.492579;-3.646356176;-0.040409483;-23.64635618
7;1;-17;0.76;-72.53737338;189.0811261;-6648.308504;-2.857685152;0;35.14231485
5;5;-11;0.77;-3.502698153;259.0776555;-584.5940403;-0.251063735;0.013469828;39.74893626
0;1;-8;0.48;-1.29295057;441.0477414;-1149.527248;-0.493827184;0.026939655;2.506172816
-2;0;-7;0.11;12.25850012;233.157859;15950.42816;6.856333104;0.013469828;-3.143666896
-2;-1;-6;-0.21;4.343789303;-242.2735777;-705.8877607;-0.303576471;0.026939655;-13.30357647
0;-1;-6;-0.31;-0.257630347;-242.5198242;-1326.110404;-0.570166481;0.013469828;-3.570166481
0;-2;-7;-0.35;-12.15075071;-315.1861032;-14251.65713;-6.126112924;0.003813465;-12.12611292
